date,real_gdp,unemployment_rate
2000-01-01,10040.049206134297,5.0
2000-02-01,10093.879563440416,5.213881921966182
2000-03-01,10126.544331404524,5.269264047229819
2000-04-01,10136.015901411078,5.2426228529371075
2000-05-01,10164.827628880008,5.126580536712581
2000-06-01,10173.529449616302,5.035495109912774
2000-07-01,10226.657232914533,5.258799327095506
2000-08-01,10334.020183114106,5.241995783713485
2000-09-01,10368.339908674365,5.219260655772024
2000-10-01,10398.992630479968,5.140793264951049
2000-11-01,10477.41782261132,4.922983348588862
2000-12-01,10552.319641172417,4.897315560587462
2001-01-01,10618.554086593069,5.0235528004282655
2001-02-01,10642.565706005054,4.973048981443827
2001-03-01,10706.294308316697,4.925100556068472
2001-04-01,10802.669621775058,4.861166373242985
2001-05-01,10812.956545750041,4.920812511858169
2001-06-01,10862.696698877164,4.686938594116474
2001-07-01,10850.959794021433,4.737231876242477
2001-08-01,10866.719417335105,4.666868796143777
2001-09-01,10859.347830995202,4.884953139991218
2001-10-01,10922.52719538543,4.7700766042001055
2001-11-01,10941.639391492821,4.907123756411992
2001-12-01,11028.704056599905,5.11606331896652
2002-01-01,11111.891564632606,5.021271837524603
2002-02-01,11180.816155254091,4.908222404335176
2002-03-01,11146.25676462033,5.005431516138968
2002-04-01,11200.17916006761,4.995610727565364
2002-05-01,11276.403634766883,4.822781483901778
2002-06-01,11360.421844378934,4.888895786862029
2002-07-01,11370.256343577134,5.230963380364166
2002-08-01,11427.729099230344,5.147164811100329
2002-09-01,11462.262448673582,5.100483533616212
2002-10-01,11504.235591773491,4.929376360009857
2002-11-01,11631.853177168383,4.929088408842846
2002-12-01,11673.295923993031,4.754175777128787
2003-01-01,11750.314059584662,4.602227313221187
2003-02-01,11870.072332071424,4.802307939105614
2003-03-01,11920.380531523857,4.692237880052158
2003-04-01,11992.334013713917,4.882316447379704
2003-05-01,12074.211874992992,5.104002546887633
2003-06-01,12153.130193142357,5.105012292454211
2003-07-01,12168.552932690407,5.19211688429735
2003-08-01,12245.889010746125,5.435293755898258
2003-09-01,12385.019397684995,5.279599269092985
